Name,Geburtsjahr,Todesjahr,Konfession,Biographie,Vorkommen,Varianten,Autor von,Anfangsjahr,Schlussjahr,Ist Mitglied von,Kategorien,Kommentar,Urheber von,Mitglieder,Dargestellt in,Literatur,Externe Ressourcen
"Karl Emanuel I., Herzog (Savoyen)",1562,1630,katholisch,,,,,,,,,,,,,",",Sandrart.net:
"Karl Friedrich, Herzog (Münsterberg-Oels)",1593,1647,protestantisch,,,,,,,,,,,,,", S. 62–63, 67",Gemeinsame Normdatei (GND):
"Karl Günther, Graf (Schwarzburg-Rudolstadt)",1576,1630,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Karl Johann Franz, Prinz (Bayern)",1618,1640,katholisch,,,,,,,,,,,,,", S. 153",Gemeinsame Normdatei (GND):
Karl Martell,zwischen 688 und 689,741,katholisch,,,,,,,,,,,,,", S. 34–49",Gemeinsame Normdatei (GND):
"Karl, Erzherzog (Österreich)",1590,1624,katholisch,,,"Karl, Bischof (Breslau)",,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Karlmann I., König (Frankenreich)",751,771,katholisch,,,,,,,,,,,,,", S. 70-100",Gemeinsame Normdatei (GND):
Peter von Karpffen zu Rietheim,,ca. 1632,protestantisch,,,,,,,,,,,,,", S. 186",Gemeinsame Normdatei (GND):
"Kasimir, Markgraf (Brandenburg-Kulmbach)",1481,1527,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Kasimir II., Herzog (Polen)",1138,1194,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Kasimir V., Herzog (Pommern-Stettin)",,1435,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Kasimir IV. Andreas, König (Polen)",1427,1492,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Kaspar von Seckendorff, Bischof (Eichstätt)",,1595,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Keferloher,,,katholisch,,,,,,,,,,,,,,
Bartholomäus Keller von Zinnendorf,,,katholisch,,,,,,,,,,,,,,
Christoph Keller,,,keine Angabe,,,,,,,,,,,,,", S. 291",
Kilian Kenngott,1573,1639,protestantisch,,,,,,,,,,,,,,
Kerinth,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johannes Kern,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jakob Kessenring,,,katholisch,,,,,,,,,,,,,,
Barbara Keuz,,,katholisch,,,,,,,,,,,,,,
Maria Elisabeth Khuen von Auer,,1626,katholisch,,,,,,,,,,,,,,
Ferdinand Khuen von Belasy,,1618,katholisch,,,,,,,,,,,,,",  hier S. 29",Gemeinsame Normdatei (GND):
Johann Khurz,,1647,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Georg Kienlin,,,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoff Kientzel,,,protestantisch,,,,,,,,,,,,,",",
Eberhard Kieser,1583,1631,protestantisch,,,,,,,,,,,,,,Sandrart.net:
Lucas Kilian,1579,1637,protestantisch,,,,,,,,,,,,,", Bd. 7, S. 9",Sandrart.net:
Magnus (Mang) Kilian,,ca. 1637,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Wolfgang Kilian,1581,1662,protestantisch,,,,,,,,,,,,,", S. 416",Sandrart.net:
Leopold Kirchschlager,,,keine Angabe,,,,,,,,,,,,,,
Georg Kirst,,,keine Angabe,,,,,,,,,,,,,,
Hildegard Klammer,,,keine Angabe,,,,,,,,,,,,,", S. 174",Gemeinsame Normdatei (GND):
Melchior Klesl,1552,1630,katholisch,,,,,,,,,,,,,,Sandrart.net:
Elisabeth von Kleve,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Katharina Klieber,ca. 1370,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Bernhard Klingenstein,zwischen 1545 und 1546,1614,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Konrad Kloedt,,1614,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Andreas Klöpffer,,1618,katholisch,,,,,,,,,,,,,", S. 118, 1350",Gemeinsame Normdatei (GND):
"Klotho, Göttin",,,keine Angabe,,,Clotho,,,,,,,,,,,Sandrart.net:
Carl Rudolph Knebel,,,keine Angabe,,,,,,,,,,,,,", S. 83, 221",
Martin Knell,,,katholisch,,,,,,,,,,,,,", Bd. 2, S. 294, Anm. 82",
Hans Knotz,,,keine Angabe,,,,,,,,,,,,,", Bd. 21 (1927), S. 34",
Leonhard Kobold,,,katholisch,,,,,,,,,,,,,,
Jakob Köck,,,katholisch,,,,,,,,,,,,,,
Hans von Köllen,,,protestantisch,,,,,,,,,,,,,", S. 180",
Hans Jakob König,zwischen 1528 und 1536,zwischen 1601 und 1603,katholisch,,,,,,,,,,,,,", Bd. 2, S. 303, Anm. 105",Gemeinsame Normdatei (GND):
Johann König,1586,1642,protestantisch,,,,,,,,,,,,,", Bd. 7, S. 117",Union List of Artist Names (ULAN):
Kaspar König,,,keine Angabe,,,,,,,,,,,,,,
Peter König,,,katholisch,,,,,,,,,,,,,", Bd. 7, S. 117",Gemeinsame Normdatei (GND):
Tobias König,,,protestantisch,,,,,,,,,,,,,", S. 75",
Königin von Saba,,,andere,,,,,,,,,,,,,,Sandrart.net:
Johann Friedrich von Kötteritz,1593,,protestantisch,,,,,,,,,,,,,", S. 69, 77",Gemeinsame Normdatei (GND):
Matthäus Kohler,ca. 1370,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Kasimir I.  Kolb von Wartenberg,1584,1661,protestantisch,,,,,,,,,,,,,", S. 290–293",Gemeinsame Normdatei (GND):
Konrad Kolb von Wartenberg,1590,1635,protestantisch,,,,,,,,,,,,,", S. 293–295",
Dorothea Kohler,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Friedrich Koler,,,keine Angabe,,,,,,,,,,,,,", S. 279",
Benigna Katharina von Kolowrat-Liebsteinsky,1582,ca. 1636,katholisch,,,,,,,,,,,,,", S. 290",Gemeinsame Normdatei (GND):
Katharina von Kolowrat-Liebsteinsky,,1618,katholisch,,,,,,,,,,,,,", S. 290",Gemeinsame Normdatei (GND):
"Konrad von Konstanz, Bischof (Konstanz)",ca. 900,ca. 975,katholisch,,,,,,,,,,,,,", S. 187",Gemeinsame Normdatei (GND):
"Konrad der Rote, Herzog (Lothringen)",ca. 922,955,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Konrad I., Herzog (Glogau)",,zwischen 1273 und 1274,katholisch,,,,,,,,,,,,,", S. 553–554 (Alois Schmid)",Gemeinsame Normdatei (GND):
"Konrad I., König (Ostfrankenreich)",ca. 881,918,katholisch,,,,,,,,,,,,,", S. 1–48",Gemeinsame Normdatei (GND):
"Konrad I., Graf (Valley)",,ca. 1175,katholisch,,,,,,,,,,,,,", S. 30",Gemeinsame Normdatei (GND):
"Konrad I. von Wittelsbach, Erzbischof (Mainz)",zwischen ca. 1120 und 1130,1200,katholisch,,,,,,,,,,,,,", S. 441",Gemeinsame Normdatei (GND):
"Konrad II. von Pfeffenhausen, Bischof (Eichstätt)",,1305,katholisch,,,,,,,,,,,,,", S. 124–129",Gemeinsame Normdatei (GND):
"Konrad II., Kaiser (HRR)",ca. 990,1039,katholisch,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Konrad II. von Thüngen, Bischof (Würzburg)",ca. 1466,1540,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Konrad III., König (HRR)",1093,1152,katholisch,,,,,,,,,,,,,", S. 440",Gemeinsame Normdatei (GND):
"Konrad IV., König (HRR)",1228,1254,katholisch,,,,,,,,,,,,,",",Union List of Artist Names (ULAN):
"Konrad I. von Morsbach, Bischof (Eichstätt)",,1171,katholisch,,,,,,,,,,,,,", S. 81–84",Gemeinsame Normdatei (GND):
"Konradin, Herzog (Schwaben)",1252,1268,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Korbinian, Heiliger",ca. 680,zwischen 720 und 730,katholisch,,,,,,,,,,,,,", S. 189",Gemeinsame Normdatei (GND):
"Krafft, Patrizierfamilie",,,,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Ulrich Krafft,1550,1621,protestantisch,,,,,,,,,,,,,", S. 9",Gemeinsame Normdatei (GND):
Susanna Krafft,ca. 1557,ca. 1616,protestantisch,,,,,,,,,,,,,,
"Kraft I., Graf (Hohenlohe)",1256,1313,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Krates von Theben,ca. 365 v. Chr.,ca. 285 v. Chr.,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sebald Kraus,1577,1630,keine Angabe,,,,,,,,,,,,,", S. 219",Gemeinsame Normdatei (GND):
Johann Krauß,,,katholisch,,,,,,,,,,,,,",",
Eucharius Krebs,,,keine Angabe,,,,,,,,,,,,,,
Apollonia Krefft,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Kreizer, Augsburger Uhrmacherfamilie",,,,,,,,,,,,,,,,", Bd. 2, S. 300, Anm. 93",
Georg Krenckel,,,katholisch,,,,,,,,,,,,,,
Wilhelm Kress von Kressenstein,1560,1640,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wolfgang Christoph Kress von Kressenstein,1582,1615,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Kaspar Kretzmeyer,,1635,protestantisch,,,,,,,,,,,,,",",
Nikolaus Kronberger,ca. 1544,1610,protestantisch,,,,,,,,,,,,,", S. 7",Gemeinsame Normdatei (GND):
Hans Krumpper,ca. 1570,1634,katholisch,,,,,,,,,,,,,",",Sandrart.net:
Barbara Kühlwein,,,keine Angabe,,,,,,,,,,,,,,
Hans Kühlwein,,,keine Angabe,,,,,,,,,,,,,,
Leonhard Kühlwein,,,keine Angabe,,,,,,,,,,,,,,
Michael Kühlwein,,,keine Angabe,,,,,,,,,,,,,,
Johann Wolfgang Künling,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sigmundt Kumerle,,,katholisch,,,,,,,,,,,,,", S. 310",Gemeinsame Normdatei (GND):
"Kunigunde, Kaiserin (HRR)",ca. 980,zwischen 1033 und 1039,christlich allgemein,,,,,,,,,,,,,", S. 121",Gemeinsame Normdatei (GND):
Kunrath,,,katholisch,,,,,,,,,,,,,", S. 58",
Ferdinand Sigmund Kurtz von Senftenau,1592,1659,katholisch,,,,,,,,,,,,,", Bd. 2, S. 282–283, Anm. 62",Gemeinsame Normdatei (GND):
Maximilian Kurtz von Senftenau,1595,1662,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipp Kurtz von Senftenau,,1643,katholisch,,,,,,,,,,,,,", S. 457–458",Gemeinsame Normdatei (GND):
Sabina Kurtz,,1643,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Kyros II. der Große, König (Persien)",zwischen ca. 590 und 580 v. Chr.,529,andere,,,,,,,,,,,,,,Sandrart.net:
"Henri de La Tour d’Auvergne, Herzog von Bouillon",1555,1623,protestantisch,,,"Bouillon, Henri de la Tour-d'Auvergne, duc de",,,,,,,,,,,Gemeinsame Normdatei (GND):
Simon de Labrique,1579,1656,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Lachesis, Göttin",,,andere,,,,,,,,,,,,,,Sandrart.net:
"Lactantius, Gelehrter",ca. 250,ca. 320,andere,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Ladschin, Sultan (Ägypten)",,1299,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Achatius von Laimingen,,,protestantisch,,,,,,,,,,,,,", S. 181, 445",Gemeinsame Normdatei (GND):
Christoph von Laimingen,1568,1640,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Jakob Lamb,,,protestantisch,,,,,,,,,,,,,", S. 48",Gemeinsame Normdatei (GND):
Karl von Lamberg,1563,1612,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Lamech, biblische Person",,,andere,,,,,,,,,,,,,", S. 777",Gemeinsame Normdatei (GND):
Hans Philipp von Lammersheim,,,protestantisch,,,,,,,,,,,,,,
Hans David von Lammersheim,,1621,protestantisch,,,,,,,,,,,,,",",
Matilde von Lancaster,1339,1362,katholisch,,,Matilda Plantagenet,,,,,,,,,,", S. 76",Gemeinsame Normdatei (GND):
Ernst von Landenberg,,,keine Angabe,,,,,,,,,,,,,",",
Michael von Landenberg zu Breitenlandenberg,,1633,katholisch,,,,,,,,,,,,,", S. 340",Gemeinsame Normdatei (GND):
Gerolamo Lando,1590,1656,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Jobst II. von Landsberg zu Erwitte,ca. 1567,1622,katholisch,,,,,,,,,,,,,", S. 4",
Pleickhard Landschad von Steinach,1575,1621,protestantisch,,,,,,,,,,,,,,
Achilles Langenbucher,,zwischen 1639 und 1640,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Anna Langenmantel vom RR,1350,1417,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Barbara Langenmantel vom Sparren,1410,1449,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Langenmantel vom Sparren,,,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hartmann Langenmantel vom Sparren,ca. 1405,ca. 1474,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Carl Langenmantel,,,katholisch,,,,,,,,,,,,,", S. 389",Gemeinsame Normdatei (GND):
Johannes Langenmantel vom Sparren,,ca. 1395,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Leonhard Langenmantel vom Sparren,ca. 1390,1470,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Magdalena Langenmantel vom Sparren,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Susanna Langenmantel vom RR,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ulrich Langenmantel vom RR,,1411,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Walpurga Langenmantel vom Sparren,ca. 1440,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hermann Lantheri,,,protestantisch,,,,,,,,,,,,,",",
"Laocoon, mythologische Person",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Laren,,,,,,,,,,,,,,,,,Sandrart.net:
"Largia, Nymphe",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Laßla Janusch, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,", S. 75–76",
Hans Jakob Lassmann,,,keine Angabe,,,,,,,,,,,,,", S. 34",Gemeinsame Normdatei (GND):
Orlando di Lasso,ca. 1532,1594,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Anna Lauginger,,,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Lauginger,1380,1445,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Lauginger,ca. 1350,1408,katholisch,,,,,,,,,,,,,",",
Ursula Lauginger,zwischen 1425 und 1430,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Engelbert von Lauter,1559,1615,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Lazarus, biblische Person",,,andere,,,,,,,,,,,,,,Sandrart.net:
"Jacques Lefevre, Sieur de la Heronniere",,,keine Angabe,,,,,,,,,,,,,",",
Christoph Lehmann,1570,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Philipp II. von Leiningen-Dagsburg-Hardenburg,1579,1625,keine Angabe,,,,,,,,,,,,,", Personenregister, s. v. „Leiningen-Dagsburg-Hardenburg,
                     Johann Philipp II., Graf von“",Gemeinsame Normdatei (GND):
Georg Adolf von Leiningen-Dagsburg,1597,1624,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Ludwig von Leiningen-Dagsburg-Falkenburg,1579,1625,keine Angabe,,,,,,,,,,,,,", Personenregister, s. v. „Leiningen-Dagsburg-Falkenburg,
                     Johann Ludwig, Graf von“",Gemeinsame Normdatei (GND):
Maria Elisabeth von Leiningen-Dagsburg,1561,1629,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipp Georg von Leinigen-Dagsburg-Falkenburg,1582,1627,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wolfgang Friedrich von Leiningen-Dagsburg,1591,1623,keine Angabe,,,,,,,,,,,,,,
Philipp Jakob von Leiningen-Schaumburg,1572,1612,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Reinhard II. von Leiningen-Schaumburg,1574,1655,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph von Leiningen-Westerburg-Schadeck,1575,1635,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ludwig von Leiningen-Westerburg,1557,1622,protestantisch,,,,,,,,,,,,,", S. 346",Gemeinsame Normdatei (GND):
Emich XII. von Leiningen-Dagsburg-Hardenburg,1562,1607,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ludwig Andreas Lemblin,,1635,protestantisch,,,,,,,,,,,,,", S. 52, 179, 491, 511, 605",Gemeinsame Normdatei (GND):
Hans Lemlin,zwischen 1355 und 1360,1428,keine Angabe,,,Hans Lemlein,,,,,,,,,,", S. 495",Gemeinsame Normdatei (GND):
Hans Lemlin,ca. 1395,1473,katholisch,,,Hans Lemlein,,,,,,,,,,,Gemeinsame Normdatei (GND):
Ursula Lemlin,ca. 1435,1494,katholisch,,,Ursula Lemlein,,,,,,,,,,", Taf. I",Gemeinsame Normdatei (GND):
Johann Baptista Lenck,,1633,protestantisch,,,,,,,,,,,,,", hier S. 14",
Lorenz Lenck,1560,ca. 1620,protestantisch,,,,,,,,,,,,,", S. 89, 91, Anm. 91",Gemeinsame Normdatei (GND):
Johannes Lencker,1573,1637,protestantisch,,,,,,,,,,,,,", Bd. 23, S. 46",Union List of Artist Names (ULAN):
Heilika von Lengenfeld,ca. 1103,1170,katholisch,,,,,,,,,,,,,", S. 31",Gemeinsame Normdatei (GND):
"Leo III., Papst",,816,katholisch,,,,,,,,,,,,,", S. 70-111",Gemeinsame Normdatei (GND):
"Leo IX., Papst",1002,1054,katholisch,,,,,,,,,,,,,", S. 199",Gemeinsame Normdatei (GND):
Astor Leoncelli,ca. 1535,1603,katholisch,,,,,,,,,,,,,", S. 49, 341–342",Gemeinsame Normdatei (GND):
"Leonhard von Keutschach, Erzbischof (Salzburg)",ca. 1440,1519,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Leopold III. von Habsburg, Herzog (Österreich)",1351,1386,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Leopold V., Erzherzog (Österreich-Tirol)",1586,1632,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Otto Heinrich Leschen,,,katholisch,,,,,,,,,,,,,", Bd. 2, S. 305, Anm. 112",
Stephen Lesieur,,,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Ernst Ludwig Leutrum von Ertingen,1583,1630,protestantisch,,,,,,,,,,,,,", S. 37",
Philipp Christoph Leutrum von Ertingen,1584,1649,protestantisch,,,,,,,,,,,,,,
Christoph von Leutsch,,,protestantisch,,,,,,,,,,,,,", 1606_schwerin, Nr. 63",
Leviathan,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Paul Lewicher,,,keine Angabe,,,,,,,,,,,,,,
Balthasar Leymann zu Liebenau,,,katholisch,,,,,,,,,,,,,,
Polycarp Leyser,1552,1610,protestantisch,,,,,,,,,,,,,", Bd. 2, S. 253, Anm. 48",Gemeinsame Normdatei (GND):
Hans Philipp von Liebenstein,1593,1637,protestantisch,,,,,,,,,,,,,", S. 594",
Sophia Lieber,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Jacopo Ligozzi,1547,1627,katholisch,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
Caspar Lindel,,,katholisch,,,,,,,,,,,,,", S. 363",Gemeinsame Normdatei (GND):
Martin von der Linden,,,katholisch,,,,,,,,,,,,,", hier S. 263",
Agnes von Lindow-Ruppin,ca. 1321,ca. 1367,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Katharina von Lindow-Ruppin,1439,1485,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sophia von Lindow-Ruppin,ca. 1238,ca. 1301,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Agnes Lingelsheim,1577,1635,protestantisch,,,,,,,,,,,,,",",
Georg Michael Lingelsheim,1556,1636,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Melchior Link,1588,1637,protestantisch,,,,,,,,,,,,,", S. 54–55",
Christoph von Linstow,,,keine Angabe,,,,,,,,,,,,,,
Justus Lipsius,1547,1606,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Lirna, Nymphe",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Konstantin von Liskirchen,,1632,katholisch,,,,,,,,,,,,,,
Katharine von Litauen,zwischen 1369 und 1374,1422,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
James Livingston,,1674,protestantisch,,,,,,,,,,,,,", S. 958",
Thomas Livingston,,1673,protestantisch,,,,,,,,,,,,,", S. 146, 958",
Michael von Loefen,1546,1620,protestantisch,,,,,,,,,,,,,", hier S. 91",Gemeinsame Normdatei (GND):
Christoph Löffelholtz von Kolberg,1572,1619,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wolfgang Löffelholtz von Kolberg,1563,1617,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Bernhard Ludwig Löher,1580,1631,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ernst von Löwenstein-Wertheim,1599,1622,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Friedrich Ludwig von Löwenstein-Wertheim,1598,1657,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Ludwig von Löwenstein-Wertheim-Scharfeneck,1587,1633,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Hermann von Löwenstein-Wertheim,1601,1620,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Kasimir von Löwenstein-Wertheim,1588,1622,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johannes Lohelius,1549,1622,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans von Lomnitz,,,keine Angabe,,,,,,,,,,,,,,
Agnes von Loon,,1191,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Lorenz von Bibra, Bischof (Würzburg)",ca. 1459,1519,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Lorenz, Fürst (Mecklenburg-Güstrow)",zwischen 1338 und 1340,zwischen 1393 und 1394,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Lorenzino di Fiorenza,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wolfgang Siegmund von Losenstein,1567,1626,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph von Loß,1574,1620,protestantisch,,,,,,,,,,,,,", S. 61",Gemeinsame Normdatei (GND):
"Lot, biblische Person",,,andere,,,,,,,,,,,,,",",Sandrart.net:
"Lothar I., Kaiser (Frankenreich)",795,855,katholisch,,,,,,,,,,,,,", S. 139–169",Gemeinsame Normdatei (GND):
"Lothar von Metternich, Kurfürst und Erzbischof (Trier)",1551,1623,katholisch,,,,,,,,,,,,,", S. 315–316 (dort mit falscher Identifikation in Abb.
                     103)",Gemeinsame Normdatei (GND):
Agnes von Lothringen,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth Renata von Lothringen,1574,1635,katholisch,,,,,,,,,,,,,", S. 131",Gemeinsame Normdatei (GND):
Renata von Lothringen,1544,1602,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Lucidor,,,keine Angabe,,,,,,,,,,,,,",",
"Lucretia, mythologische Person",,,andere,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Lucretia, Heilige",,ca. 859,christlich allgemein,,,,,,,,,,,,,", Bd. 3, S. 908",Gemeinsame Normdatei (GND):
Ludmilla von Kelheim,ca. 1170,1240,katholisch,,,,,,,,,,,,,", S. 494",Gemeinsame Normdatei (GND):
Ludwig,,,katholisch,,,,,,,,,,,,,,
"Ludwig, Herzog (Bayern)",1267,1290,katholisch,,,,,,,,,,,,,", S. 84",Gemeinsame Normdatei (GND):
"Ludwig I., Herzog (Bayern)",1174,1231,katholisch,,,,,,,,,,,,,", S. 495",Gemeinsame Normdatei (GND):
"Ludwig I., Graf (Erbach)",1579,1643,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig I., Kaiser (Frankenreich)",778,840,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig II., Herzog (Bayern)",1229,1294,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ludwig II., König (Böhmen und Ungarn)",1506,1526,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ludwig II., Graf (Nassau-Weilburg)",1565,1627,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ludwig II., König (Ostfrankenreich)",ca. 805,876,katholisch,,,,,,,,,,,,,", S. 139–169",Gemeinsame Normdatei (GND):
"Ludwig II., Landgraf (Thüringen)",ca. 1128,1172,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig III., Kaiser (HRR)",ca. 880,zwischen 927 und 928,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig III., Herzog (Württemberg)",1554,1593,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig IV., Kaiser (HRR)",zwischen 1282 und 1286,1347,christlich allgemein,,,,,,,,,,,,,", S. 495",Union List of Artist Names (ULAN):
"Ludwig IV., König (Ostfrankenreich)",893,911,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig IV., Landgraf (Thüringen)",1200,1227,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ludwig V., Herzog (Bayern)",1315,1361,katholisch,,,,,,,,,,,,,", S. 495",Gemeinsame Normdatei (GND):
"Ludwig V., Landgraf (Hessen-Darmstadt)",1577,1626,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ludwig V., Kurfürst (Pfalz)",1478,1544,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Ludwig VI., Herzog (Bayern)",1328,zwischen 1364 und 1365,katholisch,,,,,,,,,,,,,", S. 495",Gemeinsame Normdatei (GND):
"Ludwig VII., Herzog (Bayern-Ingolstadt)",ca. 1368,1447,katholisch,,,,,,,,,,,,,", S. 5",Gemeinsame Normdatei (GND):
