Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Wilhelm Kress von Kressenstein;1560;1640;keine Angabe;"Angehörige der Aristokratie; Städtische Administration";Rat der Stadt Nürnberg;;;;
Wolfgang Christoph Kress von Kressenstein;1582;1615;keine Angabe;"Angehörige der Aristokratie; Städtische Administration";;;;;
Caspar Kretz;;1624;keine Angabe;Bedienstete;;;;;um 1610
Kaspar Kretzmeyer;;1635;protestantisch;Künstler: Architektur;;;;;1602–1635 nachgewiesen
Georg Kriebel;1583;1645;keine Angabe;Künstler: Skulptur;;;;;
Nikolaus Kronberger;1544;1610;protestantisch;Künstler: Angewandte Kunst;;"Als Trinkgefäß gestaltete Meerschnecke auf einem aus Meerschnecken gebildeten Fuß; Muschelgeschirr";;;
Hans Krumpper;1570;1634;katholisch;"Künstler: Skulptur; Künstler: Angewandte Kunst; Künstler: Malerei";;"Dachau, St. Jakob; Grabdenkmal Kaiser Ludwigs IV. des Bayern";;;
Barbara Kühlwein;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Hans Kühlwein;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Leonhard Kühlwein;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Michael Kühlwein;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Hans Jakob Kuenlin;1577;;protestantisch;Künstler: Angewandte Kunst;;;;;
Johann Wolfgang Künling;;;keine Angabe;Bedienstete;;;;;1564 nachweisbar
Sigmundt Kumerle;;;katholisch;Hofleute, höfische Administration;;;;;erwähnt zwischen 1578 und 1613
Kunrath;;;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1490
Ferdinand Sigmund Kurtz von Senftenau;1592;1659;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Maximilian Kurtz von Senftenau;1595;1662;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Herzoglicher/Kurfürstlicher Rat (Bayern);;;;
Philipp Kurtz von Senftenau;;1643;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;zwischen 1592 und 1643
Sabina Kurtz;;1643;keine Angabe;Sonstige;;;;;
Kyklopen (mythologische Gestalten);;;;;;;;;
Henri de La Tour d’Auvergne, Herzog von Bouillon;1555;1623;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Simon de Labrique;1579;1656;katholisch;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";Universität Ingolstadt;;;;
Gaius Laelius;;;andere;"Angehörige des Militärs; Städtische Administration";;;;;zwischen 209 und 170 v. Chr.
Achatius von Laimingen;;;protestantisch;Hofleute, höfische Administration;;;;;ca. 1608–1646
Christoph von Laimingen;1568;1640;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Jakob Lamb;;;protestantisch;"Künstler: Graphik; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;zwischen 1596 und 1619
Karl von Lamberg;1563;1612;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Johann David von Lammersheim;1571;1621;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Philipp von Lammersheim;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1616
Johann Sixt von Lammersheim;1594;1634;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Ernst von Landenberg;;;keine Angabe;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1616
Michael von Landenberg zu Breitenlandenberg;;1633;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Simon Landgraf;1568;1629;keine Angabe;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Gerolamo Lando;1590;1656;katholisch;Städtische Administration;Venezianische Gesandte beim Reichstag in Regensburg 1613;;;;
Jobst II. von Landsberg zu Erwitte;1567;1622;katholisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";;;;;
Pleickhard Landschad von Steinach;1575;1621;protestantisch;Angehörige des Militärs;;;;;
Georg Jakob Lang;1655;1740;keine Angabe;"Gelehrte und Schriftsteller; Künstler: Malerei";;;;;
Achilles Langenbucher;;;keine Angabe;Künstler: Angewandte Kunst;;"Miniaturlandschaften; Pommerscher Meierhof";;;1610–1639/1640 nachgewiesen
Hans Langenmantel vom Sparren;;;christlich allgemein;Sonstige;;;;;
Johann Carl Langenmantel;;;katholisch;Städtische Administration;;;;;zwischen 1582 und 1661
Magdalena Langenmantel vom Sparren;;;katholisch;Sonstige;;;;;
Susanna Langenmantel vom RR;;;katholisch;Sonstige;;;;;
Hermann Lantheri;;;protestantisch;Hofleute, höfische Administration;;;;;1608–1616
Laßla Janusch, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Hans Jakob Lassmann;;;keine Angabe;Bedienstete;;;;;zwischen 1628 und 1636
Anna Lauginger;;;christlich allgemein;Sonstige;;;;;um 1446
Ursula Lauginger;;;katholisch;Sonstige;;;;;
Johann Engelbert von Lauter;1559;1615;protestantisch;Hofleute, höfische Administration;;;;;
Thomas Lebzelter;1570;1632;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;
Wolfgang Lebzelter;1592;1622;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;
Jacques Lefevre, Sieur de la Heronniere;;;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1607–1640 (?) nachgewiesen
Christoph Lehmann;1570;1638;protestantisch;"Städtische Administration; Gelehrte und Schriftsteller";;;Lehmann, Christoph: Florilegium politicum / Politischer Blumengarten. Darinn außerlesene Politische Sententz, Lehren, Reguln und Sprüchwörter [...] in locos communes zusammen getragen, o.O. 1630;;
Johann Philipp II. von Leiningen-Dagsburg-Hardenburg;1579;1625;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Georg Adolf von Leiningen-Dagsburg;1597;1624;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Johann Ludwig von Leiningen-Dagsburg-Falkenburg;1579;1625;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Maria Elisabeth von Leiningen-Dagsburg;1561;1629;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Georg von Leinigen-Dagsburg-Falkenburg;1582;1627;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Wolfgang Friedrich von Leiningen-Dagsburg;1591;1623;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Philipp Jakob von Leiningen-Schaumburg;1572;1612;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Reinhard II. von Leiningen-Schaumburg;1574;1655;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Christoph von Leiningen-Westerburg-Schadeck;1575;1635;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Ludwig von Leiningen-Westerburg;1557;1622;protestantisch;Angehörige der Aristokratie;"Orden der grünen Binde; Wetterauisches Reichsgrafenkollegium";;;;
Emich XII. von Leiningen-Dagsburg-Hardenburg;1562;1607;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Ludwig Andreas Lemblin;;1635;protestantisch;Hofleute, höfische Administration;;;;;
Johann Baptista Lenck;;1633;protestantisch;Hofleute, höfische Administration;;;;;
Lorenz Lenck;1560;1620;protestantisch;"Hofleute, höfische Administration; Städtische Administration";;;;;
Johannes Lencker;1573;1637;protestantisch;Künstler: Angewandte Kunst;;Kabinettschrank mit Apotheke Johann Konrads von Gemmingen;;;
Astor Leoncelli;1535;1603;katholisch;Gelehrte und Schriftsteller;;;;;
Leopold V., Erzherzog (Österreich-Tirol);1586;1632;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";"Habsburger (Dynastie); Orden vom Goldenen Vlies";"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Otto Heinrich Leschen;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;um 1631
Stephen Lesieur;;;protestantisch;Hofleute, höfische Administration;;;;;1575–um 1640 nachgewiesen
Ernst Ludwig Leutrum von Ertingen;1583;1630;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Philipp Christoph Leutrum von Ertingen;1584;1649;protestantisch;"Hofleute, höfische Administration; Angehörige des Militärs";;Stammbücher Philipp Hainhofers;;;
Christoph von Leutsch;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1608–1616
Leviathan;;;keine Angabe;Sonstige;;;;;
Paul Lewicher;;;keine Angabe;Hofleute, höfische Administration;;;;;zwischen 1600 und 1613
Balthasar Leymann zu Liebenau;;;katholisch;Hofleute, höfische Administration;;;;;zwischen 1583 und 1613
Polycarp Leyser;1552;1610;protestantisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
von Liebenstein;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Johann Philipp von Liebenstein;1593;1637;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Sophia Lieber;;;katholisch;Sonstige;;;;;
Jacopo Ligozzi;1547;1627;katholisch;"Künstler: Graphik; Künstler: Malerei";;Stammbücher Philipp Hainhofers;;;
Johann Linck;;;keine Angabe;Bedienstete;;;;;1617–1629
Caspar Lindel;;;katholisch;Hofleute, höfische Administration;;;;;erwähnt zwischen 1559 und 1578
Martin von der Linden;;;katholisch;Angehörige der Aristokratie;;;;;zwischen 1597 und 1613
Agnes Lingelsheim;1577;1635;protestantisch;Sonstige;;;;;
Georg Michael Lingelsheim;1556;1636;protestantisch;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Melchior Link;1588;1637;protestantisch;Angehörige des Militärs;;;;;
Christoph von Linstow;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Justus Lipsius;1547;1606;katholisch;Gelehrte und Schriftsteller;;;;;
Konstantin von Liskirchen;;1632;katholisch;Städtische Administration;;;;;1597–1632 nachgewiesen
James Livingston;;1674;protestantisch;"Angehörige des Militärs; Hofleute, höfische Administration";;;;;
Thomas Livingston;;1673;protestantisch;Hofleute, höfische Administration;;;;;
Michael von Loefen;1546;1620;protestantisch;Hofleute, höfische Administration;;;;;
Christoph Löffelholtz von Kolberg;1572;1619;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Wolfgang Löffelholtz von Kolberg;1563;1617;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Bernhard Ludwig Löher;1580;1631;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Löser, Adelsgeschlecht;;;;;;;;;
Ernst von Löwenstein-Wertheim;1599;1622;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich Ludwig von Löwenstein-Wertheim;1598;1657;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Georg Ludwig von Löwenstein-Wertheim-Scharfeneck;1587;1633;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Johann Hermann von Löwenstein-Wertheim;1601;1620;protestantisch;Angehörige der Aristokratie;;;;;
Johann Kasimir von Löwenstein-Wertheim;1588;1622;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbücher Philipp Hainhofers;;;
Johannes Lohelius;1549;1622;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Hans von Lomnitz;;;keine Angabe;Angehörige der Aristokratie;;;;;1615 nachgewiesen
Lorenz, Fürst (Mecklenburg-Güstrow);;;katholisch;Angehörige der Aristokratie;;;;;
Lorenzino di Fiorenza;;;keine Angabe;Bedienstete;;;;;1613 nachgewiesen
Wolfgang Siegmund von Losenstein;1567;1626;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Christoph von Loß;1574;1620;protestantisch;Hofleute, höfische Administration;;;;;
Lothar von Metternich, Kurfürst und Erzbischof (Trier);1551;1623;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;Stammbuch Philipps II. von Pommern-Stettin;;;
Agnes von Lothringen;;;katholisch;Angehörige der Aristokratie;;;;;12. Jahrhundert
Christine von Lothringen;1565;1637;katholisch;Angehörige der Aristokratie;;;;;
Elisabeth Renata von Lothringen;1574;1635;katholisch;Angehörige der Aristokratie;;Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern;;;
Renata von Lothringen;1544;1602;katholisch;Angehörige der Aristokratie;;;;;
Tobias Lotter;1568;1631;protestantisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";;;;;
Eilhard Lubin;1565;1621;protestantisch;Gelehrte und Schriftsteller;;Stammbücher Philipp Hainhofers;;;
Lucidor, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Lucretia, mythologische Person;;;andere;Angehörige der Aristokratie;;;;;
Ludwig;;;katholisch;"Bedienstete; Hofleute, höfische Administration";;;;;
Ludwig I., Graf (Erbach);1579;1643;protestantisch;Angehörige der Aristokratie;;;;;
Ludwig II., Graf (Nassau-Weilburg);1565;1627;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Ludwig V., Landgraf (Hessen-Darmstadt);1577;1626;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Ludwig XIII., König (Frankreich);1601;1643;katholisch;Angehörige der Aristokratie;;;;;
Ludwig, Fürst (Anhalt-Köthen);1579;1650;protestantisch;Angehörige der Aristokratie;;;;;
Barbara Ludwig;;;keine Angabe;Bedienstete;;;;;um 1617
Ludwig Friedrich, Herzog (Württemberg-Mömpelgard);1586;1631;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Ludwig Günther I., Graf (Schwarzburg-Rudolstadt);1581;1646;protestantisch;Angehörige der Aristokratie;;;;;
Hieronymus Lüneburg;1580;1633;protestantisch;Städtische Administration;;;;;
Wolf von Lüttichau;1565;1639;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Luitpoldus, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Paulus Lutrifontius;1555;1604;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Johann Kasimir zu Lynar;1569;1619;keine Angabe;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Ernst von Lynden und Reckheim;1583;1636;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Hans Lynsamer;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;1539 nachgewiesen
Ursula Mader;;;katholisch;Sonstige;;;;;
Magnus, Herzog (Württemberg-Neuenbürg);1594;1622;protestantisch;Angehörige der Aristokratie;;;;;
Sebastianus Magnus;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;1595
Christoph Mang;;1617;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;Monumenta SS. Passionis Domini Nostri Jesu Christi;;;zwischen 1597 und 1617
Sara Mang;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;"Alte Geige der Wahrheit – Allegorie auf den gefährdeten Zustand der Welt; Speculum Humanae Vitae, Einblattdruck mit allegorischer Darstellung";;;zwischen 1615 und 1624
Hans Manlich;1577;1636;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann Georg von Mansfeld-Artern;1557;1615;protestantisch;Angehörige der Aristokratie;;;;;
Volrad von Mansfeld-Artern;1558;1627;protestantisch;Angehörige der Aristokratie;;;;;
Bruno II. von Mansfeld-Bornstedt;1545;1615;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Bruno III. von Mansfeld-Bornstedt;1576;1644;"protestantisch; katholisch";"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Wolfgang von Mansfeld-Bornstedt;1575;1638;"protestantisch; katholisch";"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Jobst von Mansfeld-Eisleben;1558;1619;protestantisch;Angehörige der Aristokratie;;;;;
David von Mansfeld-Hinterort;1573;1628;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich Christoph von Mansfeld-Hinterort;1564;1631;protestantisch;Angehörige der Aristokratie;;;;;
Ernst von Mansfeld;1580;1626;"katholisch; protestantisch";Angehörige des Militärs;;;;;
Lucius Marcius Septimus;;;andere;Angehörige des Militärs;;;;;zwischen 211 und 206 v. Chr.
Melchior Friedrich von der Margareten;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1616
Wolf Heinrich von der Margareten;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1612–1616
Maria de Austria, Kaiserin (HRR);1528;1603;katholisch;Angehörige der Aristokratie;;;;;
Griffin Markham;1564;1644;katholisch;"Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Markus Sittikus von Hohenems, Erzbischof (Salzburg);1574;1619;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;"Stammbuch Philipps II. von Pommern-Stettin; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Hans Friedrich Marschalck;1571;1621;keine Angabe;Angehörige des Militärs;;;;;
Balthasar von der Marwitz;1600;1657;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbücher Philipp Hainhofers;;;
Johann Matthaeus;1563;1621;protestantisch;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;Matthaeus, Johann: Rationalis et empirica Thermarum Marchicarum Badensium descriptio, Ettlingen 1606;;
Matthes ?;;;protestantisch;Bedienstete;;;;;um 1617
Sebastian Matthesius;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;Balsamus Vitae, Einblattdruck;;;um 1615
Matthias, Kaiser (HRR);1557;1619;katholisch;Angehörige der Aristokratie;"Habsburger (Dynastie); Orden vom Goldenen Vlies";"Linz, Schloss Linz; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Heinrich Mauch;;;"protestantisch; katholisch";"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";;;;;nachgewiesen 1578–1625
Maximilian von Pappenheim, Landgraf (Stühlingen);1580;1639;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Maximilian I., Herzog/Kurfürst (Bayern);1573;1651;katholisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";"Katholische Liga; Orden vom Goldenen Vlies";"Geschenk Maximilians I. von Bayern zur Taufe von Ferdinand Albrecht I. zu Braunschweig-Lüneburg; Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern; Grabdenkmal Kaiser Ludwigs IV. des Bayern; München, Residenz, Kammergalerie; München, Residenz, Schwarzer Saal der Residenz; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Maximilian III., Erzherzog (Österreich);1558;1618;katholisch;Angehörige der Aristokratie;"Deutscher Orden; Habsburger (Dynastie)";"Geschenke Maximilians III. von Österreich an Philipp II. Pommern-Stettin; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Maximilian Ernst, Erzherzog (Österreich);1583;1616;katholisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Georg von Maxlrain;;1635;protestantisch;Angehörige der Aristokratie;;;;;
Wilhelm von Maxlrain;;1655;katholisch;Angehörige der Aristokratie;;;;;
Jakob III. Mayer;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1599 und 1616
Martin Mayer;;;katholisch;Hofleute, höfische Administration;;;;;um 1636
Urban Mayer;1575;1613;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Alexander Mayr;1559;;katholisch;"Künstler: Graphik; Künstler: Malerei";;;;;
Sophie von Mecklenburg;1557;1631;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sophie Elisabeth von Mecklenburg-Güstrow;1613;1676;protestantisch;"Angehörige der Aristokratie; Gelehrte und Schriftsteller";;;;;
Anna von Mecklenburg;;;keine Angabe;Angehörige der Aristokratie;;;;;
Anna von Mecklenburg;1533;1602;"katholisch; protestantisch";Angehörige der Aristokratie;;;;;
Anna von Mecklenburg;;;keine Angabe;Angehörige der Aristokratie;;;;;um zweite Hälfte 14. Jahrhundert
Christine Margarethe von Mecklenburg;1615;1666;protestantisch;Angehörige der Aristokratie;;;;;
Margarete Elisabeth von Mecklenburg;1584;1616;keine Angabe;Angehörige der Aristokratie;;;;;
Anna Sophia von Mecklenburg-Schwerin;1591;1648;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Claudia de’ Medici;1604;1648;katholisch;Angehörige der Aristokratie;;;;;
Giuliano de’ Medici;1574;1636;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Johann Baptist Meermann;;1659;katholisch;Hofleute, höfische Administration;;;;;
Katharina Megenzer von Velldorf;;;protestantisch;Hofleute, höfische Administration;;;;;um 1616
David Megerlin;1572;;protestantisch;Städtische Administration;;;;;1572–1633 nachgewiesen
Leonhard Helfried von Meggau;1577;1644;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Orden vom Goldenen Vlies;;;;
Megingaud, Bischof (Eichstätt);;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Gabriel Mehlführer;1581;1647;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Peter Meiderlin;1582;1651;protestantisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";;;;;
Marcantonio Memmo;1536;1615;katholisch;"Städtische Administration; Angehörige der Aristokratie";;;;;
Joachim Mencel;1586;1638;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Georg Mendel von Steinfels;;;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;ca. 1616–1624
Johann Kaspar von Menlishofen;;1626;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Ludwig von Menlishofen;;1632;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Caspar Menneler;1575;1630;protestantisch;Künstler: Skulptur;;;;;
Philipp Menzel;1546;1613;katholisch;Gelehrte und Schriftsteller;;;;;
Johann Bernhard von Menzingen;1587;1659;protestantisch;Angehörige der Aristokratie;;;;;
Menzinger (Familie);;;;;;;;;
Thomas Merckelbach;1568;1618;keine Angabe;"Hofleute, höfische Administration; Städtische Administration";;;;;
Georg Merckle;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Leonhard Merckle;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Nicolaus Merz;;;katholisch;Hofleute, höfische Administration;;;;;1612 bis 1615
Johann Andreas Mesmer;;;katholisch;Städtische Administration;;;;;um 1613
Metriphron, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Wilhelm von Metternich-Winneburg;;1652;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Reinhard von Metternich;;1637;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Dietrich Meyer;1572;1658;protestantisch;"Künstler: Malerei; Künstler: Graphik";;Das Bischofsamt als Gipfel der dornigen Tugendleiter;;;
Hans Mieske;1540;1619;protestantisch;Bedienstete;;;;;
Andreas Mileus;1583;1632;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Anna Mileus;1584;1627;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Benigna Mülich;;;christlich allgemein;Sonstige;;;;;
Joannes Millauer;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;ca. 1595
Jerg Miller;;;katholisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Johann Miller;;;keine Angabe;Städtische Administration;Augsburger Gesandte beim Reichstag in Regensburg 1613;;;;erwähnt zwischen 1613 und 1617
Peter Miller;;1614;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Gottfried Minderer;1575;1618;katholisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Johann Möll;;;keine Angabe;Hofleute, höfische Administration;;;;;1613 nachgewiesen
Alter Mönch des Klosters Ebersberg;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;
Ebersberger Mönche;;;;;;;;;
Vincent Moller;;1618;keine Angabe;"Städtische Administration; Hofleute, höfische Administration";;;;;1589–1618 nachgewiesen
Die vier Monarchen;;;;;;;;;
Johann VI. von Montfort;1557;1619;katholisch;Angehörige der Aristokratie;Schwäbisches Reichsgrafenkollegium;;;;
M. Montille;;;keine Angabe;Angehörige des Militärs;;;;;1615 nachgewiesen
Zacharias von Morenberg zu Jaufen und Windegg;;;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1615–1619 nachgewiesen
Moritz, Landgraf (Hessen-Kassel);1572;1632;protestantisch;"Angehörige der Aristokratie; Gelehrte und Schriftsteller";Protestantische Union;Stammbuch Philipps II. von Pommern-Stettin;;;
Moritz, Prinz (Oranien) und Graf (Nassau);1567;1625;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbuch Philipps II. von Pommern-Stettin;;;
Isaac de Morlot;1578;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1578–1617 nachgewiesen
Eberhard Albrecht von Morstein;;1634;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Reinhard Mosbach von Lindenfels;;;protestantisch;Hofleute, höfische Administration;;;;;um 1593–1619
Bernhard Mosmüller;;1627;katholisch;Hofleute, höfische Administration;;;;;
Anton Mozart;1572;1625;protestantisch;Künstler: Malerei;;"Mariä Heimsuchung; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Heinrich Mülegg;1575;;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;1575–1632 nachgewiesen
Daniel Müller;1571;;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Jois Müller;1575;;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Ludwig Müller von Zaneck;1570;1633;protestantisch;Hofleute, höfische Administration;;;;;
Christoph Ernst von Münchingen;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1616
Philipp Christoph von Münchingen;;1631;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Werner Dietrich von Münchingen;;1639;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Rüdiger von Münchow auf Nossow und Seger;1571;1616;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Jakob Muffel von Eschenau;1567;1632;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Muley Zid Hamet, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
